
running 649 tests
test lexer::tests::should_lex_tests_defs_constants_webidl ... ok
test lexer::tests::should_lex_tests_defs_dictionary_inherits_webidl ... ok
test lexer::tests::should_lex_tests_defs_enum_webidl ... ok
test lexer::tests::should_lex_tests_defs_escaped_type_webidl ... ok
test lexer::tests::should_lex_tests_defs_exposed_asterisk_webidl ... ok
test lexer::tests::should_lex_tests_defs_equivalent_decl_webidl ... ok
test lexer::tests::should_lex_tests_defs_escaped_name_webidl ... ok
test lexer::tests::should_lex_tests_defs_dictionary_webidl ... ok
test lexer::tests::should_lex_tests_defs_extended_attributes_webidl ... ok
test lexer::tests::should_lex_tests_defs_identifier_hyphen_webidl ... ok
test lexer::tests::should_lex_tests_defs_getter_setter_webidl ... ok
test lexer::tests::should_lex_tests_defs_generic_webidl ... ok
test lexer::tests::should_lex_tests_defs_identifier_qualified_names_webidl ... ok
test lexer::tests::should_lex_tests_defs_interface_constructor_webidl ... ok
test lexer::tests::should_lex_tests_defs_inherits_getter_webidl ... ok
test lexer::tests::should_lex_tests_defs_interface_inherits_webidl ... ok
test lexer::tests::should_lex_tests_defs_indexed_properties_webidl ... ok
test lexer::tests::should_lex_tests_defs_includes_name_webidl ... ok
test lexer::tests::should_lex_tests_defs_iterable_webidl ... ok
test lexer::tests::should_lex_tests_defs_namedconstructor_webidl ... ok
test lexer::tests::should_lex_tests_defs_maplike_webidl ... ok
test lexer::tests::should_lex_tests_defs_mixin_webidl ... ok
test lexer::tests::should_lex_tests_defs_namespace_webidl ... ok
test lexer::tests::should_lex_tests_defs_nullable_webidl ... ok
test lexer::tests::should_lex_tests_defs_obsolete_keywords_webidl ... ok
test lexer::tests::should_lex_tests_defs_nointerfaceobject_webidl ... ok
test lexer::tests::should_lex_tests_defs_nullableobjects_webidl ... ok
test lexer::tests::should_lex_tests_defs_partial_interface_webidl ... ok
test lexer::tests::should_lex_tests_defs_operation_optional_arg_webidl ... ok
test lexer::tests::should_lex_tests_defs_overridebuiltins_webidl ... ok
test lexer::tests::should_lex_tests_defs_overloading_webidl ... ok
test lexer::tests::should_lex_tests_defs_prototyperoot_webidl ... ok
test lexer::tests::should_lex_tests_defs_putforwards_webidl ... ok
test lexer::tests::should_lex_tests_defs_promise_void_webidl ... ok
test lexer::tests::should_lex_tests_defs_primitives_webidl ... ok
test lexer::tests::should_lex_tests_defs_replaceable_webidl ... ok
test lexer::tests::should_lex_tests_defs_reg_operations_webidl ... ok
test lexer::tests::should_lex_tests_defs_reflector_interface_webidl ... ok
test lexer::tests::should_lex_tests_defs_record_webidl ... ok
test lexer::tests::should_lex_tests_defs_setlike_webidl ... ok
test lexer::tests::should_lex_tests_defs_stringifier_attribute_webidl ... ok
test lexer::tests::should_lex_tests_defs_sequence_webidl ... ok
test lexer::tests::should_lex_tests_defs_static_webidl ... ok
test lexer::tests::should_lex_tests_defs_stringifier_webidl ... ok
test lexer::tests::should_lex_tests_defs_treatasnull_webidl ... ok
test lexer::tests::should_lex_tests_defs_treatasundefined_webidl ... ok
test lexer::tests::should_lex_tests_defs_typedef_union_webidl ... ok
test lexer::tests::should_lex_tests_defs_typedef_webidl ... ok
test lexer::tests::should_lex_tests_defs_undefined_webidl ... ok
test lexer::tests::should_lex_tests_defs_variadic_operations_webidl ... ok
test lexer::tests::should_lex_tests_defs_typesuffixes_webidl ... ok
test literal::test::should_parse_bool_false ... ok
test lexer::tests::should_lex_tests_defs_uniontype_webidl ... ok
test lexer::tests::test ... ok
test literal::test::should_parse_bool_true ... ok
test literal::test::should_parse_empty_array ... ok
test literal::test::should_parse_float_exp ... ok
test literal::test::should_parse_float ... ok
test literal::test::should_parse_float_exp_with_decimal ... ok
test literal::test::should_parse_float_preceding_others ... ok
test literal::test::should_parse_hex_large_number ... ok
test literal::test::should_parse_float_surrounding_with_spaces ... ok
test literal::test::should_parse_hex_number ... ok
test literal::test::should_parse_integer ... ok
test literal::test::should_parse_integer_preceding_others ... ok
test literal::test::should_parse_infinity ... ok
test literal::test::should_parse_integer_surrounding_with_spaces ... ok
test literal::test::should_parse_neg_float ... ok
test literal::test::should_parse_neg_infinity ... ok
test literal::test::should_parse_neg_integer ... ok
test literal::test::should_parse_null ... ok
test literal::test::should_parse_oct_number ... ok
test literal::test::should_parse_string ... ok
test literal::test::should_parse_string_followed_by_string ... ok
test literal::test::should_parse_string_surround_with_spaces ... ok
test literal::test::should_parse_string_with_comment ... ok
test literal::test::should_parse_string_with_multiline_comment ... ok
test literal::test::should_parse_zero ... ok
test literal::test::should_parse_string_with_spaces ... ok
test members::test::should_parse_attribute_interface_member ... ok
test members::test::should_parse_attribute_mixin_member ... ok
test members::test::should_parse_attribute_namespace_member ... ok
test members::test::should_parse_modifier ... ok
test members::test::should_parse_const_member ... ok
test term::test::Any::should_parse ... ok
test members::test::should_parse_stringifier_or_inherit_or_static ... ok
test members::test::should_parse_regular_operation_member ... ok
test members::test::should_parse_operation_interface_member ... ok
test term::test::Any::should_parse_if_anything_next ... ok
test term::test::Any::should_parse_with_preceding_spaces ... ok
test term::test::Any::should_parse_with_succeeding_spaces ... ok
test term::test::Any::should_parse_with_surrounding_spaces ... ok
test term::test::ArrayBuffer::should_parse ... ok
test term::test::ArrayBuffer::should_parse_if_anything_next ... ok
test term::test::ArrayBuffer::should_parse_with_succeeding_spaces ... ok
test term::test::ArrayBuffer::should_parse_with_preceding_spaces ... ok
test term::test::ArrayBuffer::should_parse_with_surrounding_spaces ... ok
test term::test::Assign::should_parse ... ok
test term::test::Assign::should_parse_if_anything_next ... ok
test term::test::Assign::should_parse_with_preceding_spaces ... ok
test term::test::Assign::should_parse_with_succeeding_spaces ... ok
test term::test::Assign::should_parse_with_surrounding_spaces ... ok
test term::test::Async::should_parse_with_preceding_spaces ... ok
test term::test::Async::should_parse ... ok
test term::test::Async::should_parse_if_anything_next ... ok
test term::test::Async::should_parse_with_succeeding_spaces ... ok
test term::test::Async::should_parse_with_surrounding_spaces ... ok
test term::test::Attribute::should_parse ... ok
test term::test::Attribute::should_parse_if_anything_next ... ok
test term::test::Attribute::should_parse_with_preceding_spaces ... ok
test term::test::Attribute::should_parse_with_succeeding_spaces ... ok
test term::test::Attribute::should_parse_with_surrounding_spaces ... ok
test term::test::BigInt64Array::should_parse ... ok
test term::test::BigInt64Array::should_parse_if_anything_next ... ok
test term::test::BigInt64Array::should_parse_with_succeeding_spaces ... ok
test term::test::BigInt64Array::should_parse_with_preceding_spaces ... ok
test term::test::BigUint64Array::should_parse ... ok
test term::test::BigInt64Array::should_parse_with_surrounding_spaces ... ok
test term::test::BigUint64Array::should_parse_if_anything_next ... ok
test term::test::BigUint64Array::should_parse_with_succeeding_spaces ... ok
test term::test::BigUint64Array::should_parse_with_surrounding_spaces ... ok
test term::test::BigUint64Array::should_parse_with_preceding_spaces ... ok
test term::test::Bigint::should_parse ... ok
test term::test::Bigint::should_parse_with_preceding_spaces ... ok
test term::test::Bigint::should_parse_if_anything_next ... ok
test term::test::Bigint::should_parse_with_succeeding_spaces ... ok
test term::test::Bigint::should_parse_with_surrounding_spaces ... ok
test term::test::Boolean::should_parse ... ok
test term::test::Boolean::should_parse_if_anything_next ... ok
test term::test::Boolean::should_parse_with_preceding_spaces ... ok
test term::test::Boolean::should_parse_with_succeeding_spaces ... ok
test term::test::Boolean::should_parse_with_surrounding_spaces ... ok
test term::test::Byte::should_parse ... ok
test term::test::Byte::should_parse_with_preceding_spaces ... ok
test term::test::Byte::should_parse_if_anything_next ... ok
test term::test::Byte::should_parse_with_succeeding_spaces ... ok
test term::test::Byte::should_parse_with_surrounding_spaces ... ok
test term::test::ByteString::should_parse ... ok
test term::test::ByteString::should_parse_if_anything_next ... ok
test lexer::tests::should_lex_tests_defs_mediacapture_streams_webidl ... ok
test term::test::ByteString::should_parse_with_preceding_spaces ... ok
test term::test::ByteString::should_parse_with_succeeding_spaces ... ok
test term::test::ByteString::should_parse_with_surrounding_spaces ... ok
test term::test::Callback::should_parse ... ok
test term::test::Callback::should_parse_with_succeeding_spaces ... ok
test term::test::Callback::should_parse_with_preceding_spaces ... ok
test term::test::Callback::should_parse_if_anything_next ... ok
test term::test::Callback::should_parse_with_surrounding_spaces ... ok
test term::test::CloseBrace::should_parse ... ok
test term::test::CloseBrace::should_parse_with_succeeding_spaces ... ok
test term::test::CloseBrace::should_parse_with_surrounding_spaces ... ok
test term::test::CloseBrace::should_parse_with_preceding_spaces ... ok
test term::test::CloseBrace::should_parse_if_anything_next ... ok
test term::test::CloseBracket::should_parse ... ok
test term::test::CloseBracket::should_parse_if_anything_next ... ok
test term::test::CloseBracket::should_parse_with_preceding_spaces ... ok
test term::test::CloseBracket::should_parse_with_succeeding_spaces ... ok
test term::test::CloseBracket::should_parse_with_surrounding_spaces ... ok
test term::test::CloseParen::should_parse ... ok
test term::test::CloseParen::should_parse_if_anything_next ... ok
test term::test::CloseParen::should_parse_with_preceding_spaces ... ok
test term::test::CloseParen::should_parse_with_succeeding_spaces ... ok
test term::test::CloseParen::should_parse_with_surrounding_spaces ... ok
test term::test::Colon::should_parse ... ok
test term::test::Colon::should_parse_with_preceding_spaces ... ok
test term::test::Colon::should_parse_with_succeeding_spaces ... ok
test term::test::Colon::should_parse_if_anything_next ... ok
test term::test::Colon::should_parse_with_surrounding_spaces ... ok
test term::test::Comma::should_parse ... ok
test term::test::Comma::should_parse_if_anything_next ... ok
test term::test::Comma::should_parse_with_preceding_spaces ... ok
test term::test::Comma::should_parse_with_succeeding_spaces ... ok
test term::test::Comma::should_parse_with_surrounding_spaces ... ok
test term::test::Const::should_parse ... ok
test term::test::Const::should_parse_if_anything_next ... ok
test term::test::Const::should_parse_with_preceding_spaces ... ok
test term::test::Const::should_parse_with_succeeding_spaces ... ok
test term::test::Const::should_parse_with_surrounding_spaces ... ok
test term::test::Constructor::should_parse ... ok
test term::test::Constructor::should_parse_if_anything_next ... ok
test term::test::Constructor::should_parse_with_preceding_spaces ... ok
test term::test::Constructor::should_parse_with_succeeding_spaces ... ok
test term::test::Constructor::should_parse_with_surrounding_spaces ... ok
test term::test::DOMString::should_parse ... ok
test lexer::tests::should_lex_tests_defs_streams_webidl ... ok
test term::test::DOMString::should_parse_if_anything_next ... ok
test term::test::DOMString::should_parse_with_preceding_spaces ... ok
test term::test::DOMString::should_parse_with_succeeding_spaces ... ok
test term::test::DOMString::should_parse_with_surrounding_spaces ... ok
test term::test::DataView::should_parse ... ok
test term::test::DataView::should_parse_if_anything_next ... ok
test term::test::DataView::should_parse_with_preceding_spaces ... ok
test term::test::DataView::should_parse_with_succeeding_spaces ... ok
test term::test::DataView::should_parse_with_surrounding_spaces ... ok
test term::test::Deleter::should_parse ... ok
test term::test::Deleter::should_parse_with_preceding_spaces ... ok
test term::test::Deleter::should_parse_if_anything_next ... ok
test term::test::Deleter::should_parse_with_succeeding_spaces ... ok
test term::test::Deleter::should_parse_with_surrounding_spaces ... ok
test term::test::Dictionary::should_parse ... ok
test term::test::Dictionary::should_parse_if_anything_next ... ok
test term::test::Dictionary::should_parse_with_preceding_spaces ... ok
test term::test::Dictionary::should_parse_with_succeeding_spaces ... ok
test term::test::Dictionary::should_parse_with_surrounding_spaces ... ok
test term::test::Dot::should_parse ... ok
test term::test::Dot::should_parse_if_anything_next ... ok
test term::test::Dot::should_parse_with_preceding_spaces ... ok
test term::test::Dot::should_parse_with_succeeding_spaces ... ok
test term::test::Dot::should_parse_with_surrounding_spaces ... ok
test term::test::Double::should_parse ... ok
test term::test::Double::should_parse_if_anything_next ... ok
test term::test::Double::should_parse_with_preceding_spaces ... ok
test term::test::Double::should_parse_with_succeeding_spaces ... ok
test term::test::Double::should_parse_with_surrounding_spaces ... ok
test term::test::Ellipsis::should_parse ... ok
test term::test::Ellipsis::should_parse_if_anything_next ... ok
test term::test::Ellipsis::should_parse_with_preceding_spaces ... ok
test term::test::Ellipsis::should_parse_with_succeeding_spaces ... ok
test term::test::Ellipsis::should_parse_with_surrounding_spaces ... ok
test term::test::Enum::should_parse ... ok
test term::test::Enum::should_parse_with_preceding_spaces ... ok
test term::test::Enum::should_parse_if_anything_next ... ok
test term::test::Enum::should_parse_with_succeeding_spaces ... ok
test term::test::Enum::should_parse_with_surrounding_spaces ... ok
test term::test::False::should_parse ... ok
test term::test::False::should_parse_if_anything_next ... ok
test term::test::False::should_parse_with_preceding_spaces ... ok
test term::test::False::should_parse_with_succeeding_spaces ... ok
test term::test::False::should_parse_with_surrounding_spaces ... ok
test term::test::Float32Array::should_parse ... ok
test term::test::Float32Array::should_parse_if_anything_next ... ok
test term::test::Float32Array::should_parse_with_preceding_spaces ... ok
test term::test::Float32Array::should_parse_with_succeeding_spaces ... ok
test term::test::Float32Array::should_parse_with_surrounding_spaces ... ok
test term::test::Float64Array::should_parse ... ok
test term::test::Float64Array::should_parse_with_preceding_spaces ... ok
test term::test::Float64Array::should_parse_with_succeeding_spaces ... ok
test term::test::Float64Array::should_parse_if_anything_next ... ok
test term::test::Float::should_parse ... ok
test term::test::Float64Array::should_parse_with_surrounding_spaces ... ok
test term::test::Float::should_parse_if_anything_next ... ok
test term::test::Float::should_parse_with_preceding_spaces ... ok
test term::test::Float::should_parse_with_succeeding_spaces ... ok
test term::test::Float::should_parse_with_surrounding_spaces ... ok
test term::test::FrozenArray::should_parse ... ok
test term::test::FrozenArray::should_parse_if_anything_next ... ok
test term::test::FrozenArray::should_parse_with_preceding_spaces ... ok
test term::test::FrozenArray::should_parse_with_succeeding_spaces ... ok
test term::test::FrozenArray::should_parse_with_surrounding_spaces ... ok
test term::test::Getter::should_parse ... ok
test term::test::Getter::should_parse_if_anything_next ... ok
test term::test::Getter::should_parse_with_preceding_spaces ... ok
test term::test::Getter::should_parse_with_succeeding_spaces ... ok
test term::test::Getter::should_parse_with_surrounding_spaces ... ok
test term::test::GreaterThan::should_parse ... ok
test term::test::GreaterThan::should_parse_if_anything_next ... ok
test term::test::GreaterThan::should_parse_with_preceding_spaces ... ok
test term::test::GreaterThan::should_parse_with_succeeding_spaces ... ok
test term::test::GreaterThan::should_parse_with_surrounding_spaces ... ok
test term::test::Includes::should_parse ... ok
test term::test::Includes::should_parse_if_anything_next ... ok
test term::test::Includes::should_parse_with_preceding_spaces ... ok
test term::test::Includes::should_parse_with_succeeding_spaces ... ok
test term::test::Includes::should_parse_with_surrounding_spaces ... ok
test term::test::Infinity::should_parse ... ok
test term::test::Infinity::should_parse_if_anything_next ... ok
test term::test::Infinity::should_parse_with_preceding_spaces ... ok
test term::test::Infinity::should_parse_with_succeeding_spaces ... ok
test term::test::Infinity::should_parse_with_surrounding_spaces ... ok
test term::test::Inherit::should_parse ... ok
test term::test::Inherit::should_parse_if_anything_next ... ok
test term::test::Inherit::should_parse_with_preceding_spaces ... ok
test term::test::Inherit::should_parse_with_succeeding_spaces ... ok
test term::test::Int16Array::should_parse ... ok
test term::test::Inherit::should_parse_with_surrounding_spaces ... ok
test term::test::Int16Array::should_parse_if_anything_next ... ok
test term::test::Int16Array::should_parse_with_preceding_spaces ... ok
test term::test::Int16Array::should_parse_with_succeeding_spaces ... ok
test term::test::Int16Array::should_parse_with_surrounding_spaces ... ok
test term::test::Int32Array::should_parse ... ok
test term::test::Int32Array::should_parse_if_anything_next ... ok
test term::test::Int32Array::should_parse_with_preceding_spaces ... ok
test term::test::Int32Array::should_parse_with_succeeding_spaces ... ok
test term::test::Int32Array::should_parse_with_surrounding_spaces ... ok
test term::test::Int8Array::should_parse ... ok
test term::test::Int8Array::should_parse_if_anything_next ... ok
test term::test::Int8Array::should_parse_with_preceding_spaces ... ok
test term::test::Int8Array::should_parse_with_succeeding_spaces ... ok
test term::test::Int8Array::should_parse_with_surrounding_spaces ... ok
test term::test::Interface::should_parse ... ok
test term::test::Interface::should_parse_if_anything_next ... ok
test term::test::Interface::should_parse_with_preceding_spaces ... ok
test term::test::Interface::should_parse_with_succeeding_spaces ... ok
test term::test::Interface::should_parse_with_surrounding_spaces ... ok
test term::test::Iterable::should_parse ... ok
test term::test::Iterable::should_parse_if_anything_next ... ok
test term::test::Iterable::should_parse_with_preceding_spaces ... ok
test term::test::Iterable::should_parse_with_surrounding_spaces ... ok
test term::test::Iterable::should_parse_with_succeeding_spaces ... ok
test term::test::LessThan::should_parse ... ok
test term::test::LessThan::should_parse_if_anything_next ... ok
test term::test::LessThan::should_parse_with_preceding_spaces ... ok
test term::test::LessThan::should_parse_with_succeeding_spaces ... ok
test term::test::LessThan::should_parse_with_surrounding_spaces ... ok
test term::test::Long::should_parse ... ok
test term::test::Long::should_parse_if_anything_next ... ok
test term::test::Long::should_parse_with_preceding_spaces ... ok
test term::test::Long::should_parse_with_succeeding_spaces ... ok
test term::test::Long::should_parse_with_surrounding_spaces ... ok
test term::test::Maplike::should_parse ... ok
test term::test::Maplike::should_parse_if_anything_next ... ok
test term::test::Maplike::should_parse_with_preceding_spaces ... ok
test term::test::Maplike::should_parse_with_succeeding_spaces ... ok
test term::test::Maplike::should_parse_with_surrounding_spaces ... ok
test term::test::Minus::should_parse ... ok
test term::test::Minus::should_parse_if_anything_next ... ok
test term::test::Minus::should_parse_with_preceding_spaces ... ok
test term::test::Minus::should_parse_with_succeeding_spaces ... ok
test term::test::Minus::should_parse_with_surrounding_spaces ... ok
test term::test::Mixin::should_parse ... ok
test term::test::Mixin::should_parse_if_anything_next ... ok
test term::test::Mixin::should_parse_with_preceding_spaces ... ok
test term::test::Mixin::should_parse_with_succeeding_spaces ... ok
test term::test::Mixin::should_parse_with_surrounding_spaces ... ok
test term::test::NaN::should_parse ... ok
test term::test::NaN::should_parse_if_anything_next ... ok
test term::test::NaN::should_parse_with_preceding_spaces ... ok
test term::test::NaN::should_parse_with_succeeding_spaces ... ok
test term::test::NaN::should_parse_with_surrounding_spaces ... ok
test term::test::Namespace::should_parse ... ok
test term::test::Namespace::should_parse_if_anything_next ... ok
test term::test::Namespace::should_parse_with_preceding_spaces ... ok
test term::test::Namespace::should_parse_with_succeeding_spaces ... ok
test term::test::Namespace::should_parse_with_surrounding_spaces ... ok
test term::test::NegInfinity::should_parse ... ok
test term::test::NegInfinity::should_parse_if_anything_next ... ok
test term::test::NegInfinity::should_parse_with_preceding_spaces ... ok
test term::test::NegInfinity::should_parse_with_succeeding_spaces ... ok
test term::test::NegInfinity::should_parse_with_surrounding_spaces ... ok
test term::test::Null::should_parse ... ok
test term::test::Null::should_parse_if_anything_next ... ok
test term::test::Null::should_parse_with_preceding_spaces ... ok
test term::test::Null::should_parse_with_succeeding_spaces ... ok
test term::test::Null::should_parse_with_surrounding_spaces ... ok
test term::test::Object::should_parse ... ok
test term::test::Object::should_parse_if_anything_next ... ok
test term::test::Object::should_parse_with_preceding_spaces ... ok
test term::test::Object::should_parse_with_succeeding_spaces ... ok
test term::test::Object::should_parse_with_surrounding_spaces ... ok
test term::test::ObservableArray::should_parse ... ok
test term::test::ObservableArray::should_parse_if_anything_next ... ok
test term::test::ObservableArray::should_parse_with_preceding_spaces ... ok
test term::test::ObservableArray::should_parse_with_succeeding_spaces ... ok
test term::test::ObservableArray::should_parse_with_surrounding_spaces ... ok
test term::test::Octet::should_parse ... ok
test term::test::Octet::should_parse_if_anything_next ... ok
test term::test::Octet::should_parse_with_preceding_spaces ... ok
test term::test::Octet::should_parse_with_succeeding_spaces ... ok
test term::test::Octet::should_parse_with_surrounding_spaces ... ok
test term::test::OpenBrace::should_parse ... ok
test term::test::OpenBrace::should_parse_if_anything_next ... ok
test term::test::OpenBrace::should_parse_with_preceding_spaces ... ok
test term::test::OpenBrace::should_parse_with_succeeding_spaces ... ok
test term::test::OpenBrace::should_parse_with_surrounding_spaces ... ok
test term::test::OpenBracket::should_parse ... ok
test term::test::OpenBracket::should_parse_if_anything_next ... ok
test term::test::OpenBracket::should_parse_with_preceding_spaces ... ok
test term::test::OpenBracket::should_parse_with_succeeding_spaces ... ok
test term::test::OpenBracket::should_parse_with_surrounding_spaces ... ok
test term::test::OpenParen::should_parse ... ok
test term::test::OpenParen::should_parse_if_anything_next ... ok
test term::test::OpenParen::should_parse_with_preceding_spaces ... ok
test term::test::OpenParen::should_parse_with_succeeding_spaces ... ok
test term::test::OpenParen::should_parse_with_surrounding_spaces ... ok
test term::test::Optional::should_parse ... ok
test term::test::Optional::should_parse_if_anything_next ... ok
test term::test::Optional::should_parse_with_preceding_spaces ... ok
test term::test::Optional::should_parse_with_succeeding_spaces ... ok
test term::test::Optional::should_parse_with_surrounding_spaces ... ok
test term::test::Or::should_parse ... ok
test term::test::Or::should_parse_if_anything_next ... ok
test term::test::Or::should_parse_with_preceding_spaces ... ok
test term::test::Or::should_parse_with_succeeding_spaces ... ok
test term::test::Or::should_parse_with_surrounding_spaces ... ok
test term::test::Partial::should_parse ... ok
test term::test::Partial::should_parse_if_anything_next ... ok
test term::test::Partial::should_parse_with_preceding_spaces ... ok
test term::test::Partial::should_parse_with_succeeding_spaces ... ok
test term::test::Partial::should_parse_with_surrounding_spaces ... ok
test lexer::tests::should_lex_tests_defs_dom_webidl ... ok
test term::test::Promise::should_parse ... ok
test term::test::Promise::should_parse_if_anything_next ... ok
test term::test::Promise::should_parse_with_preceding_spaces ... ok
test term::test::Promise::should_parse_with_succeeding_spaces ... ok
test term::test::Promise::should_parse_with_surrounding_spaces ... ok
test term::test::QMark::should_parse ... ok
test term::test::QMark::should_parse_if_anything_next ... ok
test term::test::QMark::should_parse_with_preceding_spaces ... ok
test term::test::QMark::should_parse_with_succeeding_spaces ... ok
test term::test::QMark::should_parse_with_surrounding_spaces ... ok
test term::test::ReadOnly::should_parse ... ok
test term::test::ReadOnly::should_parse_if_anything_next ... ok
test term::test::ReadOnly::should_parse_with_preceding_spaces ... ok
test term::test::ReadOnly::should_parse_with_succeeding_spaces ... ok
test term::test::ReadOnly::should_parse_with_surrounding_spaces ... ok
test term::test::Record::should_parse ... ok
test term::test::Record::should_parse_if_anything_next ... ok
test term::test::Record::should_parse_with_preceding_spaces ... ok
test term::test::Record::should_parse_with_succeeding_spaces ... ok
test term::test::Record::should_parse_with_surrounding_spaces ... ok
test term::test::Required::should_parse ... ok
test term::test::Required::should_parse_if_anything_next ... ok
test term::test::Required::should_parse_with_preceding_spaces ... ok
test term::test::Required::should_parse_with_succeeding_spaces ... ok
test term::test::Required::should_parse_with_surrounding_spaces ... ok
test term::test::SemiColon::should_parse ... ok
test term::test::SemiColon::should_parse_if_anything_next ... ok
test term::test::SemiColon::should_parse_with_preceding_spaces ... ok
test term::test::SemiColon::should_parse_with_succeeding_spaces ... ok
test term::test::SemiColon::should_parse_with_surrounding_spaces ... ok
test term::test::Sequence::should_parse ... ok
test term::test::Sequence::should_parse_if_anything_next ... ok
test term::test::Sequence::should_parse_with_preceding_spaces ... ok
test term::test::Sequence::should_parse_with_succeeding_spaces ... ok
test term::test::Sequence::should_parse_with_surrounding_spaces ... ok
test term::test::Setlike::should_parse ... ok
test term::test::Setlike::should_parse_if_anything_next ... ok
test term::test::Setlike::should_parse_with_preceding_spaces ... ok
test term::test::Setlike::should_parse_with_succeeding_spaces ... ok
test term::test::Setlike::should_parse_with_surrounding_spaces ... ok
test term::test::Setter::should_parse ... ok
test term::test::Setter::should_parse_if_anything_next ... ok
test term::test::Setter::should_parse_with_preceding_spaces ... ok
test term::test::Setter::should_parse_with_succeeding_spaces ... ok
test term::test::Setter::should_parse_with_surrounding_spaces ... ok
test term::test::Short::should_parse ... ok
test term::test::Short::should_parse_if_anything_next ... ok
test term::test::Short::should_parse_with_preceding_spaces ... ok
test term::test::Short::should_parse_with_succeeding_spaces ... ok
test term::test::Short::should_parse_with_surrounding_spaces ... ok
test term::test::Static::should_parse ... ok
test term::test::Static::should_parse_if_anything_next ... ok
test term::test::Static::should_parse_with_preceding_spaces ... ok
test term::test::Static::should_parse_with_succeeding_spaces ... ok
test term::test::Static::should_parse_with_surrounding_spaces ... ok
test term::test::Stringifier::should_parse ... ok
test term::test::Stringifier::should_parse_if_anything_next ... ok
test term::test::Stringifier::should_parse_with_preceding_spaces ... ok
test term::test::Stringifier::should_parse_with_succeeding_spaces ... ok
test term::test::Stringifier::should_parse_with_surrounding_spaces ... ok
test term::test::Symbol::should_parse ... ok
test term::test::Symbol::should_parse_if_anything_next ... ok
test term::test::Symbol::should_parse_with_preceding_spaces ... ok
test term::test::Symbol::should_parse_with_succeeding_spaces ... ok
test term::test::Symbol::should_parse_with_surrounding_spaces ... ok
test term::test::True::should_parse ... ok
test term::test::True::should_parse_if_anything_next ... ok
test term::test::True::should_parse_with_preceding_spaces ... ok
test term::test::True::should_parse_with_succeeding_spaces ... ok
test term::test::True::should_parse_with_surrounding_spaces ... ok
test term::test::Typedef::should_parse ... ok
test term::test::Typedef::should_parse_if_anything_next ... ok
test term::test::Typedef::should_parse_with_preceding_spaces ... ok
test term::test::Typedef::should_parse_with_succeeding_spaces ... ok
test term::test::Typedef::should_parse_with_surrounding_spaces ... ok
